gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
M,DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,11/10/2008,2008,80980.21
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/07/1999,1999,64141.0
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,11/24/2008,2008,70671.77
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,10/09/2006,2006,68015.0
M,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,12/16/1996,1996,58867.29
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,09/29/1997,1997,85405.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015,40631.32
F,DPS,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,01/03/1988,1988,86673.48
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,08/05/1996,1996,93396.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,08/03/1992,1992,72445.29
M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Manager III,07/16/2012,2012,123803.77
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/28/2005,2005,67384.0
F,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012,29779.06
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.08
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/27/2014,2014,42053.83
M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,12/01/2014,2014,29779.09
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/14/2007,2007,54272.21
F,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,07/28/2013,2013,29779.06
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,04/14/1996,1996,78402.89
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,09/17/2007,2007,94373.24
F,DLC,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Specialist III,07/18/1999,1999,107657.0
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,10/19/1988,1988,83497.98
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,05/18/1988,1988,96197.88
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,03/14/1994,1994,76015.03
M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Traffic Field Service Technician II,11/26/1979,1979,63067.93
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/30/2006,2006,46325.18
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,03/13/1989,1989,110886.71
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,10/17/2016,2016,42792.0
F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,04/10/1989,1989,95263.92
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,04/18/1988,1988,110886.71
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,07/08/2005,2005,18247.04
M,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Accountant/Auditor III,04/19/1999,1999,93396.0
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,11/02/2015,2015,68940.72
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist II,01/31/2011,2011,74426.11
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Administrative Specialist III,03/26/2012,2012,80947.6
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,10/17/2016,2016,57300.0
M,HHS,Department of Health and Human Services,School Health Services Center,Parttime-Regular,School Health Room Technician I,07/26/2016,2016,28461.33
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/21/2005,2005,64827.88
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013,58455.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,06/12/2006,2006,58322.67
M,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Program Specialist II,04/07/2014,2014,73810.48
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,10/30/2006,2006,51355.01
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/11/2008,2008,46626.87
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,06/23/2008,2008,70319.8
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Director Department of Health and Human Services,02/13/2007,2007,228383.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/28/2014,2014,50785.5
M,HRC,Office of Human Rights,Director's Office,Fulltime-Regular,Office Services Coordinator,10/14/2002,2002,58605.82
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/01/2011,2011,37838.73
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,12/11/2006,2006,88980.92
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/12/2007,2007,48258.81
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.87
M,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,11/16/2015,2015,28772.17
F,BOA,Board of Appeals Department,Board of Appeals Division,Fulltime-Regular,Office Services Coordinator,11/13/2007,2007,49336.78
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Registered Veterinary Technician,12/01/2014,2014,48503.69
F,REC,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,06/07/2012,2012,44753.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),02/05/2007,2007,62903.0
F,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,04/23/2012,2012,29779.07
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),06/01/2004,2004,65623.0
F,DLC,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012,29779.07
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/26/2007,2007,48258.81
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,05/21/2012,2012,40452.28
M,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,11/30/2015,2015,68131.46
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,02/22/2016,2016,42792.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,08/22/2005,2005,93396.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),11/29/2004,2004,69744.0
M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,05/15/2006,2006,93396.0
M,LIB,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,09/29/2008,2008,41270.12
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,05/08/2011,2011,63345.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013,42053.42
F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Fiscal Assistant,11/05/2001,2001,67206.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/03/2008,2008,61035.5
F,HHS,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,01/23/2008,2008,89952.79
M,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant Supervisor,09/24/1990,1990,78413.21
F,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Assistant Manager,10/08/2002,2002,59315.72
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/29/2000,2000,56947.99
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016,39257.31
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000,24134.31
F,LIB,Department of Public Libraries,Damascus Library,Fulltime-Regular,Librarian II,05/01/1989,1989,100849.36
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/19/2001,2001,74146.46
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,08/20/2007,2007,72967.96
M,COR,Correction and Rehabilitation,DS MCDC Inmate Property,Fulltime-Regular,Correctional Officer III (Corporal),08/06/2007,2007,62903.0
M,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Director Department of Recreation,01/30/2007,2007,184314.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,03/28/1999,1999,89079.0
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/03/2003,2003,69218.79
M,DTS,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,02/08/2016,2016,95362.44
F,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,08/25/2013,2013,29779.06
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014,42053.42
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Specialist II,11/14/2005,2005,61917.2
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,02/26/1990,1990,114087.02
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,08/19/1996,1996,96763.35
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector II,09/08/1997,1997,84974.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,02/08/2016,2016,56387.0
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,04/17/2006,2006,118400.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2007,2007,46626.87
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006,72902.0
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,02/06/1995,1995,97392.47
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012,37838.46
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Program Manager II,12/01/1998,1998,102664.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,08/15/1988,1988,52416.7
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),06/02/2014,2014,49831.0
M,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist V,08/26/1996,1996,92202.64
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,63493.0
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,03/30/2009,2009,51355.84
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,05/03/2004,2004,97074.01
F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,02/23/1994,1994,45151.08
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011,65752.0
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,05/10/2010,2010,91139.47
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/23/2003,2003,45049.12
M,DTS,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,08/10/1992,1992,120768.0
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,07/01/2013,2013,66639.25
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2015,2015,40631.32
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,01/30/2006,2006,76852.0
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,07/18/2005,2005,80561.66
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),06/01/1997,1997,77328.0
M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,02/23/2004,2004,118400.0
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Library Associate II,11/30/1992,1992,87523.22
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,09/11/2000,2000,112266.0
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,63493.0
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,06/22/1993,1993,70595.53
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,07/30/2013,2013,78387.85
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager I,02/22/2005,2005,86721.89
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016,40631.32
F,DEP,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,03/19/2007,2007,76649.68
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,07/07/1996,1996,70866.46
M,DPS,Department of Permitting Services,Land Development Permit Processing,Parttime-Regular,Office Clerk,08/22/2016,2016,14976.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer I,02/09/2015,2015,61725.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,56990.0
F,HCA,Department of Housing and Community Affairs,Housing,Fulltime-Regular,Office Services Coordinator,06/27/1988,1988,69222.18
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004,78096.0
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,04/16/2001,2001,64141.0
M,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff III,07/19/2004,2004,74424.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),08/26/2013,2013,49118.0
M,CEX,Offices of the County Executive,Planning Implementation,Fulltime-Regular,Senior Planning Specialist,06/11/2007,2007,102664.0
M,DGS,Department of General Services,ADA Compliance,Fulltime-Regular,Program Specialist II,12/29/2003,2003,72497.95
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,01/14/2013,2013,62678.98
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,06/20/1994,1994,72534.66
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,08/12/2013,2013,53788.0
F,HHS,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,07/30/2012,2012,46698.0
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,08/24/2015,2015,58360.55
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/19/2008,2008,61035.5
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Community Outreach Manager,04/06/2014,2014,100908.32
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Office Services Coordinator,08/13/2012,2012,48593.64
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004,78096.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/31/1988,1988,63067.93
M,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Investigator III,11/20/2000,2000,92229.93
F,POL,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,09/15/1997,1997,65486.66
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/06/2012,2012,88700.01
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/07/2015,2015,35552.39
M,DLC,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012,29779.07
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/15/2000,2000,53034.52
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,04/19/2004,2004,97912.0
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,06/11/2007,2007,70435.0
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016,50211.0
F,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Supervisor,09/18/1986,1986,95263.92
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Principal Administrative Aide,01/08/2007,2007,44853.06
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/19/1998,1998,64141.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,11/13/2000,2000,76139.65
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,03/04/1991,1991,96763.35
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,08/10/2015,2015,44727.53
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,09/25/2005,2005,39262.4
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Senior Permitting Services Specialist,04/22/2013,2013,95414.08
F,DOT,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,03/19/1979,1979,105743.92
M,DLC,Department of Liquor Control,Goshen Crossing,Fulltime-Regular,Liquor Store Assistant Manager,09/24/2002,2002,62279.48
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/27/1995,1995,66065.23
M,DEP,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Program Manager II,02/07/2000,2000,102664.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,04/16/2007,2007,54605.45
M,DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Construction Representative III,01/14/2013,2013,82632.68
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,09/23/1985,1985,97392.47
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,02/19/2008,2008,66971.24
M,HCA,Department of Housing and Community Affairs,Community Development,Fulltime-Regular,Manager II,11/04/1996,1996,147847.62
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007,69790.0
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),01/03/2012,2012,60402.79
M,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Captain,08/07/1989,1989,155693.29
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Fire/Rescue Lieutenant,06/15/1992,1992,101176.43
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker IV,02/01/1999,1999,102664.0
F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist II,04/07/2014,2014,71429.48
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,12/22/2014,2014,42053.42
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,02/14/2010,2010,35411.29
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/23/2007,2007,62903.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,07/05/1988,1988,47863.07
F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Fulltime-Regular,Public Information Officer II,08/27/1990,1990,104717.28
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,12/01/2003,2003,80378.16
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,11/06/2001,2001,53932.54
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001,99597.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/10/2006,2006,50699.16
